Vertice: 281 | Pai: 8864 | Level: 3
Vertice: 282 | Pai: 5443 | Level: 4
Vertice: 283 | Pai: 4015 | Level: 4
Vertice: 284 | Pai: 9105 | Level: 4
Vertice: 285 | Pai: 6201 | Level: 3
Vertice: 286 | Pai: 6201 | Level: 3
Vertice: 287 | Pai: 8073 | Level: 3
Vertice: 288 | Pai: 6957 | Level: 4
Vertice: 289 | Pai: 4183 | Level: 3
Vertice: 290 | Pai: 3982 | Level: 3
Vertice: 291 | Pai: 5842 | Level: 3
Vertice: 292 | Pai: 1122 | Level: 4
Vertice: 293 | Pai: 6862 | Level: 3
Vertice: 294 | Pai: 337 | Level: 4
Vertice: 295 | Pai: 7483 | Level: 3
Vertice: 296 | Pai: 8538 | Level: 3
Vertice: 297 | Pai: 1829 | Level: 4
Vertice: 298 | Pai: 2438 | Level: 3
Vertice: 299 | Pai: 1935 | Level: 4
Vertice: 300 | Pai: 9092 | Level: 3
Vertice: 301 | Pai: 5452 | Level: 4
Vertice: 302 | Pai: 9680 | Level: 3
Vertice: 303 | Pai: 9459 | Level: 4
Vertice: 304 | Pai: 2087 | Level: 3
Vertice: 305 | Pai: 5781 | Level: 4
Vertice: 306 | Pai: 6689 | Level: 3
Vertice: 307 | Pai: 8952 | Level: 3
Vertice: 308 | Pai: 3056 | Level: 3
Vertice: 309 | Pai: 2804 | Level: 3
Vertice: 310 | Pai: 4444 | Level: 4
Vertice: 311 | Pai: 5386 | Level: 3
Vertice: 312 | Pai: 5675 | Level: 4
Vertice: 313 | Pai: 5130 | Level: 3
Vertice: 314 | Pai: 2413 | Level: 3
Vertice: 315 | Pai: 7998 | Level: 3
Vertice: 316 | Pai: 4448 | Level: 4
Vertice: 317 | Pai: 8212 | Level: 4
Vertice: 318 | Pai: 7858 | Level: 3
Vertice: 319 | Pai: 4925 | Level: 3
Vertice: 320 | Pai: 2213 | Level: 3
Vertice: 321 | Pai: 6862 | Level: 3
Vertice: 322 | Pai: 1355 | Level: 3
Vertice: 323 | Pai: 6884 | Level: 3
Vertice: 324 | Pai: 7884 | Level: 3
Vertice: 325 | Pai: 5107 | Level: 4
Vertice: 326 | Pai: 9087 | Level: 3
Vertice: 327 | Pai: 176 | Level: 4
Vertice: 328 | Pai: 957 | Level: 3
Vertice: 329 | Pai: 2771 | Level: 3
Vertice: 330 | Pai: 5753 | Level: 3
Vertice: 331 | Pai: 6738 | Level: 3
Vertice: 332 | Pai: 2715 | Level: 4
Vertice: 333 | Pai: 8244 | Level: 4
Vertice: 334 | Pai: 5457 | Level: 3
Vertice: 335 | Pai: 1676 | Level: 3
Vertice: 336 | Pai: 81 | Level: 4
Vertice: 337 | Pai: 5753 | Level: 3
Vertice: 338 | Pai: 8135 | Level: 3
Vertice: 339 | Pai: 8403 | Level: 4
Vertice: 340 | Pai: 4133 | Level: 3
Vertice: 341 | Pai: 6136 | Level: 3
Vertice: 342 | Pai: 1461 | Level: 3
Vertice: 343 | Pai: 1355 | Level: 3
Vertice: 344 | Pai: 8032 | Level: 4
Vertice: 345 | Pai: 1058 | Level: 3
Vertice: 346 | Pai: 8243 | Level: 3
Vertice: 347 | Pai: 4170 | Level: 3
Vertice: 348 | Pai: 3099 | Level: 3
Vertice: 349 | Pai: 9017 | Level: 3
Vertice: 350 | Pai: 2400 | Level: 3
Vertice: 351 | Pai: 6053 | Level: 3
Vertice: 352 | Pai: 3982 | Level: 3
Vertice: 353 | Pai: 849 | Level: 4
Vertice: 354 | Pai: 1461 | Level: 3
Vertice: 355 | Pai: 3164 | Level: 3
Vertice: 356 | Pai: 4441 | Level: 3
Vertice: 357 | Pai: 293 | Level: 4
Vertice: 358 | Pai: 9301 | Level: 3
Vertice: 359 | Pai: 6449 | Level: 4
Vertice: 360 | Pai: 1708 | Level: 3
Vertice: 361 | Pai: 4720 | Level: 3
Vertice: 362 | Pai: 7001 | Level: 3
Vertice: 363 | Pai: 2836 | Level: 3
Vertice: 364 | Pai: 5549 | Level: 2
Vertice: 365 | Pai: 6485 | Level: 3
Vertice: 366 | Pai: 6712 | Level: 4
Vertice: 367 | Pai: 1368 | Level: 3
Vertice: 368 | Pai: 3581 | Level: 3
Vertice: 369 | Pai: 966 | Level: 3
Vertice: 370 | Pai: 7189 | Level: 4
Vertice: 371 | Pai: 1097 | Level: 3
Vertice: 372 | Pai: 6024 | Level: 3
Vertice: 373 | Pai: 656 | Level: 3
Vertice: 374 | Pai: 1287 | Level: 3
Vertice: 375 | Pai: 7896 | Level: 3
Vertice: 376 | Pai: 2463 | Level: 3
Vertice: 377 | Pai: 4572 | Level: 4
Vertice: 378 | Pai: 8458 | Level: 4
Vertice: 379 | Pai: 9006 | Level: 4
Vertice: 380 | Pai: 4925 | Level: 3
Vertice: 381 | Pai: 8302 | Level: 3
Vertice: 382 | Pai: 1943 | Level: 3
Vertice: 383 | Pai: 4137 | Level: 3
Vertice: 384 | Pai: 4601 | Level: 4
Vertice: 385 | Pai: 8461 | Level: 3
Vertice: 386 | Pai: 9717 | Level: 3
Vertice: 387 | Pai: 9704 | Level: 3
Vertice: 388 | Pai: 2250 | Level: 4
Vertice: 389 | Pai: 3056 | Level: 3
Vertice: 390 | Pai: 1723 | Level: 3
Vertice: 391 | Pai: 2069 | Level: 4
Vertice: 392 | Pai: 4607 | Level: 4
Vertice: 393 | Pai: 6738 | Level: 3
Vertice: 394 | Pai: 7652 | Level: 3
Vertice: 395 | Pai: 6903 | Level: 3
Vertice: 396 | Pai: 9338 | Level: 4
Vertice: 397 | Pai: 7998 | Level: 3
Vertice: 398 | Pai: 1307 | Level: 4
Vertice: 399 | Pai: 6612 | Level: 3
Vertice: 400 | Pai: 9017 | Level: 3
Vertice: 401 | Pai: 6803 | Level: 3
Vertice: 402 | Pai: 9462 | Level: 2
Vertice: 403 | Pai: 2416 | Level: 3
Vertice: 404 | Pai: 1987 | Level: 3
Vertice: 405 | Pai: 4164 | Level: 3
Vertice: 406 | Pai: 5753 | Level: 3
Vertice: 407 | Pai: 9782 | Level: 3
Vertice: 408 | Pai: 4506 | Level: 4
Vertice: 409 | Pai: 7999 | Level: 4
Vertice: 410 | Pai: 8026 | Level: 3
Vertice: 411 | Pai: 4226 | Level: 3
Vertice: 412 | Pai: 2836 | Level: 3
Vertice: 413 | Pai: 1198 | Level: 3
Vertice: 414 | Pai: 1368 | Level: 3
Vertice: 415 | Pai: 5362 | Level: 4
Vertice: 416 | Pai: 6690 | Level: 3
Vertice: 417 | Pai: 6201 | Level: 3
Vertice: 418 | Pai: 869 | Level: 4
Vertice: 419 | Pai: 3737 | Level: 4
Vertice: 420 | Pai: 9404 | Level: 4
Vertice: 421 | Pai: 2011 | Level: 3
Vertice: 422 | Pai: 1097 | Level: 3
Vertice: 423 | Pai: 7422 | Level: 4
Vertice: 424 | Pai: 7077 | Level: 4
Vertice: 425 | Pai: 8351 | Level: 4
Vertice: 426 | Pai: 5468 | Level: 3
Vertice: 427 | Pai: 5056 | Level: 4
Vertice: 428 | Pai: 5127 | Level: 4
Vertice: 429 | Pai: 6226 | Level: 3
Vertice: 430 | Pai: 6121 | Level: 4
Vertice: 431 | Pai: 1472 | Level: 4
Vertice: 432 | Pai: 515 | Level: 4
Vertice: 433 | Pai: 1892 | Level: 3
Vertice: 434 | Pai: 3097 | Level: 4
Vertice: 435 | Pai: 8243 | Level: 3
Vertice: 436 | Pai: 3136 | Level: 4
Vertice: 437 | Pai: 7653 | Level: 3
Vertice: 438 | Pai: 8223 | Level: 3
Vertice: 439 | Pai: 832 | Level: 4
Vertice: 440 | Pai: 4759 | Level: 3
Vertice: 441 | Pai: 7884 | Level: 3
Vertice: 442 | Pai: 8319 | Level: 3
Vertice: 443 | Pai: 3238 | Level: 3
Vertice: 444 | Pai: 2087 | Level: 3
Vertice: 445 | Pai: 1003 | Level: 3
Vertice: 446 | Pai: 3560 | Level: 3
Vertice: 447 | Pai: 4135 | Level: 4
Vertice: 448 | Pai: 4301 | Level: 4
Vertice: 449 | Pai: 3099 | Level: 3
Vertice: 450 | Pai: 2827 | Level: 3
Vertice: 451 | Pai: 9554 | Level: 4
Vertice: 452 | Pai: 6737 | Level: 4
Vertice: 453 | Pai: 5221 | Level: 4
Vertice: 454 | Pai: 9267 | Level: 4
Vertice: 455 | Pai: 4958 | Level: 3
Vertice: 456 | Pai: 1355 | Level: 3
Vertice: 457 | Pai: 7208 | Level: 3
Vertice: 458 | Pai: 2223 | Level: 4
Vertice: 459 | Pai: 1290 | Level: 3
Vertice: 460 | Pai: 7972 | Level: 4
Vertice: 461 | Pai: 6316 | Level: 3
Vertice: 462 | Pai: 4958 | Level: 3
Vertice: 463 | Pai: 8446 | Level: 4
Vertice: 464 | Pai: 5071 | Level: 4
Vertice: 465 | Pai: 8935 | Level: 2
Vertice: 466 | Pai: 402 | Level: 3
Vertice: 467 | Pai: 978 | Level: 4
Vertice: 468 | Pai: 7896 | Level: 3
Vertice: 469 | Pai: 1491 | Level: 4
Vertice: 470 | Pai: 2359 | Level: 3
Vertice: 471 | Pai: 3824 | Level: 4
Vertice: 472 | Pai: 1410 | Level: 4
Vertice: 473 | Pai: 7522 | Level: 4
Vertice: 474 | Pai: 5423 | Level: 3
Vertice: 475 | Pai: 5917 | Level: 3
Vertice: 476 | Pai: 4672 | Level: 3
Vertice: 477 | Pai: 1058 | Level: 3
Vertice: 478 | Pai: 1987 | Level: 3
Vertice: 479 | Pai: 839 | Level: 4
Vertice: 480 | Pai: 4418 | Level: 4
Vertice: 481 | Pai: 6226 | Level: 3
Vertice: 482 | Pai: 9588 | Level: 4
Vertice: 483 | Pai: 8309 | Level: 3
Vertice: 484 | Pai: 546 | Level: 4
Vertice: 485 | Pai: 9478 | Level: 4
Vertice: 486 | Pai: 6456 | Level: 4
Vertice: 487 | Pai: 1427 | Level: 3
Vertice: 488 | Pai: 2303 | Level: 2
Vertice: 489 | Pai: 1990 | Level: 4
Vertice: 490 | Pai: 8528 | Level: 3
Vertice: 491 | Pai: 6394 | Level: 3
